,74040126_234
2022-01-14 06:40:03.916672+00:00,0.0
2022-01-14 07:00:03.382763+00:00,0.0
2022-01-14 07:20:02.659660+00:00,0.0
2022-01-14 07:40:03.378902+00:00,0.0
2022-01-14 08:00:03.031252+00:00,0.0
2022-01-14 08:20:02.904033+00:00,0.0
2022-01-14 08:40:02.731466+00:00,0.0
2022-01-14 09:00:04.322143+00:00,0.0
2022-01-14 09:20:02.930477+00:00,0.0
2022-01-14 09:40:02.591333+00:00,0.0
2022-01-14 10:00:02.860678+00:00,0.0
2022-01-14 10:20:03.764858+00:00,0.0
2022-01-14 10:40:03.907254+00:00,0.0
2022-01-14 11:00:03.084790+00:00,0.0
2022-01-14 11:20:03.367303+00:00,0.0
2022-01-14 11:40:03.101457+00:00,0.0
2022-01-14 12:00:02.782320+00:00,0.0
2022-01-14 12:20:03.538024+00:00,0.0
2022-01-14 12:40:02.849236+00:00,0.0
2022-01-14 13:00:04.979409+00:00,0.0
2022-01-14 13:20:03.401788+00:00,0.0
2022-01-14 13:40:02.545035+00:00,0.0
2022-01-14 13:54:03.624130+00:00,0.0
2022-01-14 13:56:02.517406+00:00,0.0
2022-01-14 13:58:02.235323+00:00,0.0
2022-01-14 14:20:02.079127+00:00,0.0
2022-01-14 14:40:03.635546+00:00,0.0
2022-01-14 15:00:02.978045+00:00,0.0
2022-01-14 15:20:02.090597+00:00,0.0
2022-01-14 15:40:02.246184+00:00,0.0
2022-01-14 16:00:06.489815+00:00,0.0
2022-01-14 16:20:02.467118+00:00,0.0
2022-01-14 16:40:02.647285+00:00,0.0
2022-01-14 17:00:03.547197+00:00,0.0
2022-01-14 17:20:03.074292+00:00,0.0
2022-01-14 17:40:02.783472+00:00,0.0
2022-01-14 18:00:02.918680+00:00,0.0
2022-01-14 18:20:02.146210+00:00,0.0
2022-01-14 18:40:02.306288+00:00,0.0
2022-01-14 19:00:02.095719+00:00,0.0
2022-01-14 19:20:02.867877+00:00,0.0
2022-01-14 19:40:02.391895+00:00,0.0
2022-01-14 20:00:03.984035+00:00,0.0
2022-01-14 20:20:02.511980+00:00,0.0
2022-01-14 20:40:03.457619+00:00,0.0
2022-01-14 21:00:03.890021+00:00,0.0
2022-01-14 21:20:02.203462+00:00,0.0
2022-01-14 21:40:03.159235+00:00,0.0
2022-01-14 22:00:02.529053+00:00,0.0
2022-01-14 22:20:04.821741+00:00,0.0
2022-01-14 22:40:03.229074+00:00,0.0
2022-01-14 23:00:04.551287+00:00,0.0
2022-01-14 23:20:02.599986+00:00,0.0
2022-01-14 23:40:02.563497+00:00,0.0
2022-01-15 00:00:04.266816+00:00,0.0
2022-01-15 00:20:02.980578+00:00,0.0
2022-01-15 00:40:02.847286+00:00,0.0
2022-01-15 01:00:03.594093+00:00,0.0
2022-01-15 01:20:02.219360+00:00,0.0
2022-01-15 01:40:02.929758+00:00,0.0
2022-01-15 02:00:02.988380+00:00,0.0
2022-01-15 02:20:04.304833+00:00,0.0
2022-01-15 02:40:03.028933+00:00,0.0
2022-01-15 03:00:03.472680+00:00,0.0
2022-01-15 03:20:03.180468+00:00,0.0
2022-01-15 03:40:02.537601+00:00,0.0
2022-01-15 04:00:02.330448+00:00,0.0
2022-01-15 04:20:03.693328+00:00,0.0
2022-01-15 04:40:02.578079+00:00,0.0
2022-01-15 05:00:03.485631+00:00,0.0
2022-01-15 05:20:03.832081+00:00,0.0
2022-01-15 05:40:02.173309+00:00,0.0
2022-01-15 06:00:02.940617+00:00,0.0
2022-01-15 06:20:03.660082+00:00,0.0
2022-01-15 06:40:02.917037+00:00,0.0
2022-01-15 07:00:03.064646+00:00,0.0
2022-01-15 07:20:02.652322+00:00,0.0
2022-01-15 07:40:03.615732+00:00,0.0
2022-01-15 08:00:03.062612+00:00,0.0
2022-01-15 08:20:02.706029+00:00,0.0
2022-01-15 08:40:03.521933+00:00,0.0
2022-01-15 09:00:02.681601+00:00,0.0
2022-01-15 09:20:02.906541+00:00,0.0
2022-01-15 09:40:03.405969+00:00,0.0
2022-01-15 10:00:02.664809+00:00,0.0
2022-01-15 10:20:03.236458+00:00,0.0
2022-01-15 10:40:03.201323+00:00,0.0
2022-01-15 11:00:03.217548+00:00,0.0
2022-01-15 11:20:02.898551+00:00,0.0
2022-01-15 11:40:03.779009+00:00,0.0
2022-01-15 12:00:03.410563+00:00,0.0
2022-01-15 12:20:03.532634+00:00,0.0
2022-01-15 12:40:03.762540+00:00,0.0
2022-01-15 13:00:04.412706+00:00,0.0
2022-01-15 13:20:02.286343+00:00,0.0
2022-01-15 13:40:03.074447+00:00,0.0
2022-01-15 14:00:02.696274+00:00,0.0
2022-01-15 14:20:02.742081+00:00,0.0
2022-01-15 14:40:03.240886+00:00,0.0
2022-01-15 15:00:03.506551+00:00,0.0
2022-01-15 15:20:02.583559+00:00,0.0
2022-01-15 15:40:04.422724+00:00,0.0
2022-01-15 16:00:03.330132+00:00,0.0
2022-01-15 16:20:03.135827+00:00,0.0
2022-01-15 16:40:02.452280+00:00,0.0
2022-01-15 17:00:03.559665+00:00,0.0
2022-01-15 17:20:02.899645+00:00,0.0
2022-01-15 17:40:02.876990+00:00,0.0
2022-01-15 18:00:04.643495+00:00,0.0
2022-01-15 18:20:02.959295+00:00,0.0
2022-01-15 18:40:02.787113+00:00,0.0
2022-01-15 19:00:04.707871+00:00,0.0
2022-01-15 19:20:03.758229+00:00,0.0
2022-01-15 19:40:03.562683+00:00,0.0
2022-01-15 20:00:02.931018+00:00,0.0
2022-01-15 20:20:02.716801+00:00,0.0
